Number,Finnish,English,Examples
0166,tosi,true,"Tosi törkeää.
You're very rude.

Tosi paha.
It's really bad.

Tosi kuuma!
It's so hot!

Tosi hyvää!
Really good!

Tosi hyvin!
Really good!

Tosi hyvä!
Really good!

Tosi on.
True.

Tosi outoo!
It's so weird.

Ihanko tosi.
Duh.

Tosi noloa.
I'm so embarrassed."
0167,ilman,free,"Ilman muuta.
Indubitably.

Ilman muuta!
No problem!

Se on ilmeistä.
It's blatantly obvious.

Haluan raitista ilmaa.
I want to breathe some fresh air.

Haluan ilmaista myötätuntoni.
I want to convey my sympathy.

Haluan ilmaista osanottoni.
I want to convey my sympathy.

Hämmästyin Tomin ilmettä.
I was confused by the expression on Tom's face.

Ilman lämpötila nousee.
The temperature is rising.

Tuo on ilmaista.
It's free of charge.

Se on ilmaista.
It's free of charge."
0168,etenkin,especially,"Eteen vie!
Present arms!

Tossua toisen eteen.
Get a move on.

Mene eteen päin.
Go on.

Tyttö ilmestyi eteeni.
A girl appeared before me.

Auto kiilasi eteen.
A car cut in.

Siirrytäänpä asialistalla eteen päin.
Let's proceed with the items on the agenda.

Jatka vaan eteen päin.
Go on.

Kirkon eteen on jätetty auto.
There is a car in front of the church.

Jätä minut tuon rakennuksen eteen.
Please let me off in front of that building.

Toivottavasti kukaan ei asetu eteemme.
I hope no one sits in front of us."
0169,joita,whom,"Teemme joitakin muutoksia.
We'll make changes.

Söin joitakin mansikoita.
I was eating some strawberries.

Tiedätkö sinä joitain?
You know something?

Tein joitain korjauksia.
I’ve made a few corrections.

Hän näytti joitakin valokuvia.
He showed us some pictures.

Voitteko suositella joitakin kasvisruokia?
Can you recommend any vegetarian dishes?

Voitko suositella joitakin kasvisruokia?
Can you recommend any vegetarian dishes?

Käännöksessänne on joitakin virheitä.
There are some mistakes in your translation.

Käännöksessäsi on joitakin virheitä.
There are some mistakes in your translation.

Järvellä oli joitakin paatteja.
There were some boats on the lake."
0170,muun,other,"Harrastan muun muassa tähtitiedettä.
Astronomy is one of my hobbies.

Huomasin muutaman muun ongelman.
I found some other problems.

Minä harrastan muun muassa tähtitiedettä.
Astronomy is one of my hobbies.

Minua kiinnostaa muun muassa tähtitiede.
Astronomy is one of my interests.

Se on jonkun muun ongelma.
This is somebody else's problem.

Oliko tämä jonkun muun ajatus?
Was this somebody else's idea?

Oliko tämä jonkun muun idea?
Was this somebody else's idea?

Onneksi se on jonkun muun ongelma.
I am glad it was someone else who got it.

Muun kuin neliömatriisin käänteismatriisi on vaarallinen juttu.
The inverse of a non-square matrix is a dangerous thing.

Muun kuin neliömatriisin käänteismatriisi on vaarallinen asia.
The inverse of a non-square matrix is a dangerous thing."
0171,ja se,and it,"Puhut jatkuvasti, ja se on ärsyttävää.
You're always talking, and it's annoying.

Shampoota meni silmiini ja se polttaa.
I got some shampoo in my eyes and it burns.

Puhut koko ajan, ja se on ärsyttävää.
You're always talking, and it's annoying.

Sinä puhut jatkuvasti, ja se on ärsyttävää.
You're always talking, and it's annoying.

Se poika ja se mies juovat vettä.
The boy and the man are drinking water.

Tie on märkä ja se on liukas.
The road is wet and it's slippery.

Minulla meni shampoota silmiin ja se sattuu.
I got shampoo in my eyes and it hurts.

Minulla meni shampoota silmiin ja se kirvelee.
I got some shampoo in my eyes and it stings.

Tarkistin lompakkoni uudestaan, ja se oli tyhjä.
I examined the purse again, and found it empty.

Sinä puhut koko ajan, ja se on ärsyttävää.
You're always talking, and it's annoying."
0172,nykyään,today,"Minulla on nykyään kiireitä.
I'm busy at the moment.

Hän suuttuu nykyään helposti.
He easily gets angry nowadays.

Ihmiset elävät pidempään nykyään.
People live longer nowadays.

Liha on nykyään kallista.
Meat is expensive nowadays.

Kaikki ovat onnellisia nykyään.
Everybody is happy nowadays.

Naudanliha on kallista nykyään.
Beef is expensive nowadays.

Nykyään matkustaminen on helppoa.
Travelling is easy these days.

Mitä sinulle kuuluu nykyään?
How are you these days?

Kuulemme nykyään usein energiakriisistä.
We often hear about an energy crisis these days.

Nykyään monet matkustavat autolla.
Nowadays many people travel by car."
0173,jotta,so,"Jotkin perinteet ovat typeriä.
Some traditions are dumb.

Jotkin huonekalut kasataan liimalla.
Some furniture is put together with glue.

Jotkin näytökset jättävät sanattomiksi.
There are some performances that leave one breathless.

Siirryin lähemmäksi, jotta kuulisin paremmin.
I moved closer, so I could hear better.

Tule likemmäksi, jotta näen naamasi.
Come nearer so that I can see your face.

Tule lähemmäksi, jotta näen naamasi.
Come nearer so that I can see your face.

Tule likemmäksi, jotta näen kasvosi.
Come nearer so that I can see your face.

Tule lähemmäksi, jotta näen kasvosi.
Come nearer so that I can see your face.

Nousimme aikaisin, jotta näkisimme auringonnousun.
We got up early so that we could see the sunrise.

Astuin syrjään, jotta hän pääsi ohi.
I stepped aside so that he could pass."
0174,takia,because of,"Liikavarpaan takia!
For corn's sake!

Viljan takia!
For corn's sake!

Maissin takia!
For corn's sake!

Unohdin takkini.
I forgot my jacket.

Halusitko takin?
I wanted a jacket.

Halusin takin.
I wanted a jacket.

Minkä takia?
For what?

Sain uuden takin.
I was given a new jacket.

Joku varasti takkini.
Someone stole my jacket.

Hävitin vanhan takkini.
I disposed of my old coat."
0175,mies,man,"Mies kuoli.
The man died.

Mies punastui.
The man blushed.

Ole mies.
Be a man.

Olen mies.
I am a man.

Mies herää.
The man awakens.

Mies meditoi.
The man is meditating.

Olin onnellinen mies.
I was a happy man.

Olet tosi mies.
You're a real man.

Olet uskalias mies!
You're a daring man!

Taistele kuin mies.
Fight like a man."
0176,joka on,that is,"Hänellä on kissa, joka on valkoinen.
She has a cat. The cat is white.

Valitsimme hotellin, joka on lähellä metroa.
We chose a hotel near the subway.

Tom on se, joka on syyllinen.
Tom is the guilty one.

Tomilla on veli, joka on arkkitehti.
Tom has a brother who is an architect.

Minulla on tytär, joka on kolmetoistavuotias.
I have a daughter who's 13 years old.

Tom on se, joka on ongelma.
It's Tom who's the problem.

Onko täällä ketään, joka on ollut Havaijilla?
Has anybody here been to Hawaii?

Hän on ministeri, joka on vastuussa ympäristöstä.
He is the minister responsible for the environment.

Kuvaus, joka on kaikkialla differentioituva, on jatkuva.
A function that is differentiable everywhere is continuous.

Funktio, joka on kaikkialla differentioituva, on jatkuva.
A function that is differentiable everywhere is continuous."
0177,eilen,yesterday,"Eilen?
Yesterday?

Eilen tihutti.
There was a light rain yesterday.

Satoiko eilen?
Was it raining yesterday?

Hiihditkö eilen?
Did you ski yesterday?

Eilen satoi.
It rained yesterday.

Eilen menin Tukholmaan.
Yesterday I went to Stockholm.

Missä olit eilen?
Where did you go yesterday?

Ostin printterin eilen.
I bought a printer yesterday.

Mitä kirjoitit eilen?
What did you write yesterday?

Tutustuin isäänne eilen.
I became acquainted with your father yesterday."
0178,enkä,and not,"Olen nainen enkä tyttö.
I'm a woman, not a girl.

En juo enkä polta.
I don't drink or smoke.

En polta enkä juo.
I neither smoke nor drink.

En kävele enkä juokse.
I neither walk nor run.

En tiedä enkä haluakaan.
I don't know and I don't want to know.

Enkä ole. Itse olet.
No I'm not; you are!

En nähnyt enkä kuullut mitään.
I saw nothing and heard nothing.

En kiellä, enkä vahvista sitä
I'll neither confirm nor deny that.

En juo kahvia enkä teetä.
I don't drink either coffee or tea.

Minä en juo enkä polta.
I don't drink or smoke."
0179,saattaa,may,"Saat valita.
I'll let you choose.

Saat flunssan.
You'll catch a cold.

Saat rangaistuksesi.
You will be punished.

Saat uida.
You may swim.

Saattaa sataa.
It may rain.

Saatte anteeksi.
You're forgiven.

Saat potkut.
You're fired.

Saat mennä.
You may go.

Saat anteeksi.
You're forgiven.

Saatko unta?
Can you sleep?"
0180,voisi,could,"Voisitko poistua?
I'd like you to leave.

Voisimmeko lopettaa?
Can we knock it off, please?

Voisitko toistaa?
Could you repeat that, please?

Voisitpa jäädä.
I wish you could stay.

Voisit hidastaa.
You could slow down.

Voisitko viedä roskat?
Can you take out the garbage?

Voisitko selittää menettelytavan?
Please explain the procedure.

Voisitko selittää toimintatavan?
Please explain the procedure.

Voisitko selittää proseduurin?
Please explain the procedure.

Voisitko lopettaa myöhästelemisen?
Can you please stop being late all the time?"
0181,meidän,our,"Meidät tunnistettiin.
We've been spotted.

Meidät lavastettiin.
We were framed.

Tapatko meidät?
Are you going to kill us?

Jättäkää meidät.
Leave us.

Jätä meidät.
Leave us.

Säikäytit meidät.
You scared us.

Valitse meidät!
Vote for us!

Kulmatalo on meidän.
The house on the corner is ours.

Voitto on meidän.
The victory is ours.

Päästäkää meidät pahasta.
Deliver us from evil."
0182,samalla,in the process,"Samaa mieltä?
Deal?

Samaa mieltä.
Agreed.

Toivon samaa.
I hope so, too.

Minulle samaa.
I'll have the same.

Ihan sama.
I don't care.

Ihan sama!
Whatever!

On samaa.
It is similar.

Kuulumme samaan työryhmään.
We're part of the team.

Kuulumme samaan joukkueeseen.
We're part of the team.

Olen saman ikäinen.
I am the same age."
0183,kaiken,all,"Kerroin kaiken.
I came clean.

Haluan kaiken.
I want it all.

Luin kaiken.
I read everything.

Kiistän kaiken.
I deny everything.

Näin kaiken.
I saw everything.

Kiitos kaikesta.
Thanks for everything.

Tuhosin kaiken.
I destroyed everything.

Pilasin kaiken.
I've ruined everything.

Rajansa kaikella.
Everything has its limit.

Menetämme kaiken.
We'll lose everything."
0184,kannattaa,support,"Kannatan!
I'm for it.

Kannatetaan!
I'm for it.

Kannatetaan.
I agree with you.

Kannatan ehdotusta.
I support the proposal.

Kannatan Tommia.
Tom has my support.

Kannattaa sijoittaa hajautetusti.
It's useful to diversify your investment portfolio.

Minä kannatan Tommia.
Tom has my support.

Kannattaako koulussa pysyä?
Does it pay to stay in school?

Minusta se kannattaa.
I think it's worth it.

Kannatatko vähimmäispalkkojen käyttöönottoa?
Are you in favor of introducing a minimum wage?"
0185,me,we,"Me kestimme.
We endured.

Voitetaankohan me?
I wonder if we'll win.

Me voitamme.
We'll win.

Aloitammeko me?
Shall we begin?

Me tiedetään.
We know.

Me tiedämme.
We know.

Me seisomme.
We're standing.

Me hävisimme.
We lost.

Me näännytämme.
We're starving.

Me näännymme.
We're starving."
0186,muuta,anything else,"Muuta.
Move.

Muuta lippua.
Change the flag.

Minne muutat?
Where are you going to move?

Ilman muuta.
Indubitably.

Tarvitsemmeko muuta?
Do we need anything else?

Mitä muuta?
What else?

Mitään muuta?
Anything else?

Milloin muutat?
When are you going to move?

Minä muutan.
I'm going to move.

Muutan pian.
I'll move soon."
0187,päivän,day,"Päivää.
G'day.

Päivää!
Good day!

Huono päivä!
Bad hair day.

Päivää kaikille.
Good morning, everybody.

Päivää kaikille!
Hello everyone!

Päivää, John.
Hey, John.

Päivää Hanako.
Hello, Hanako.

Päivää Maaria.
Hello, Mary.

Päivää, rouva.
Hello, ma'am.

Päivää, Tom.
Hello, Tom."
0188,tullut,become,"Mikset tullut?
Why didn't you come?

Oletko tullut takaisin?
You've come back?

Miksi et tullut?
Why didn't you come?

Olen tullut hulluksi.
I'm out of my mind.

Mikset tullu bileisii?
How come you didn't come to the party?

Mistä olen tullut?
Where am I from?

Aikani on tullut.
My time has come.

Olet tullut hulluksi.
You've lost your marbles.

Olisitpa tullut aiemmin.
I wish you'd come sooner.

On tullut viileää.
It has cooled off."
0189,nämä,these,"Pue nämä.
Put these on.

Tässähän nämä.
Okey-dokey.

Ota nämä.
Take these.

Ottakaa nämä.
Take these.

Löysin nämä.
I found these.

Haluatko nämä?
Do you want these?

Laita nämä päällesi.
Put these on.

Pistävätkö nämä hyönteiset?
Do these insects sting?

Kyllähän nämä tässä.
Okey-dokey.

Valitsin nämä kengät.
I chose these shoes."
0190,yhtä,equally,"Haluatko yhtään?
Do you want any?

Kokeilin yhtä.
I tried one.

Kohtasitko yhtään vastustusta?
Did you meet with any resistance?

Kohtasitteko yhtään vastarintaa?
Did you meet with any resistance?

Muistatko yhtään mitään.
Do you remember anything at all?

Ei kiinnosta yhtään.
I'm not interested at all.

Ei sada yhtään.
It doesn't rain at all.

Olemme yhtä vanhoja.
We are both the same age.

Ei ole yhtään.
There aren't any.

Osaatko yhtään ranskaa?
Do you know any French?"
0191,tämä on,this is,"Tämä on jatkojohto.
This is an extension cord.

Tämä on sateenvarjoni.
This is my umbrella.

Tämä on kuningattaremme.
This is our queen.

Tämä on kirves.
This is an axe.

Tämä on vessapaperirulla.
This is a roll of toilet paper.

Tämä on vessapaperia.
This is a roll of toilet paper.

Tämä on kissa.
This is a cat.

Tämä on perheyritys.
It's a family business.

Mitähän tämä on.
I wonder what this is.

Tämä on hiusväriä.
This is hair dye."
0192,siksi,therefore,"Siksi valehtelin.
That's why I lied.

Sikset ole täällä.
That's why you're not here.

Siksi hän suuttui.
That's why he got angry.

Siksi minä valehtelin.
That's why I lied.

Jätetäänpä muodollisuudet sikseen.
Let's dispense with formalities.

Siksi olen täällä.
That's why I'm here.

Siksi minä kysyin.
That's why I asked.

Siksi emme hyökänneet.
That's why we didn't attack.

Istuudun siksi aikaa.
I sit down for so long.

Siksi suosittelin Tomia tehtävään.
That's why I recommended Tom for the post."
0193,tänä,on this,"Menen tänään.
I'm going today.

Lähden tänään.
I'm leaving today.

Tänään paastoan.
I'm fasting today.

Tavataan tänään.
Meet me tonight.

Tänään passaa.
Today would be good.

Tänään kelpaa.
Today would be good.

Tänään sataa.
It's raining today.

Tänään maistuisi mustekalamykyt.
I'm in the mood for takoyaki today.

Tänään on perjantai.
Today is Friday.

Näytät tänään hajamieliseltä.
You seem distracted today."
0194,melkein,almost,"Melkein!
Close!

Melkein.
Almost.

Voitin melkein.
I almost won.

Hukuin melkein.
I almost drowned.

Melkein kolme.
Almost three.

Melkein hukuin.
I almost drowned.

Melkein aina.
Almost always.

Melkein huusin.
I almost cried.

Melkein kuolin.
I almost died.

Melkein unohdin sen.
I almost forgot it."
0195,tosin,indeed,"Oletko tosissasi?
Are you serious?

Olen tosissani.
I mean it.

Mari, olen tosissani.
Mary, I'm serious.

Ajatteletteko tosissanne lähtemistä?
Are you seriously thinking about going?

Ajatteletteko tosissanne menemistä?
Are you seriously thinking about going?

Ajatteletko tosissasi menemistä?
Are you seriously thinking about going?

Ajatteletko tosissasi lähtemistä?
Are you seriously thinking about going?

Mietittekö tosissanne lähtemistä?
Are you seriously thinking about going?

Mietittekö tosissanne menemistä?
Are you seriously thinking about going?

Mietitkö tosissasi menemistä?
Are you seriously thinking about going?"
0196,niiden,their,"Tämä on niiden.
This is theirs.

Niiden epäilykset osoittautuivat perustelluiksi.
Their apprehensions were justified.

Mikä niiden tavoite on?
What's their purpose?

Mikä niiden tavoite oli?
What was their goal?

Mikä oli niiden tavoite?
What was their goal?

Mikä on niiden tavoite?
What's their purpose?

Mikä on niiden tarkoitus?
What's their purpose?

Se on niiden vika.
It's their fault.

Tämä ei ole niiden.
This is not theirs.

Niiden sokeri on nyt loppunut.
They're out of sugar now."
0197,ottaa,take,"Otin rennosti.
I relaxed.

Otin influenssarokotteen.
I was vaccinated against the flu.

Otin influenssarokotuksen.
I had a flu shot.

Otin avioeron.
I got divorced.

Otin osaa kilpailuun.
I took part in the contest.

Otin muutaman drinkin.
I had a couple of drinks.

Otin muutaman paukun.
I had a couple of drinks.

Hän ottaa pillerin.
She's taking birth control pills.

Voinko ottaa kolme?
Can I take three?

Otin kamerani mukaan.
I took my camera along."
0198,tiedä,know,"Tiedän!
I know!

Tiedämme.
We know.

Tiedän.
I know.

Tiedätkö varmasti?
Do you know for sure?

Tiedätkö painoasi?
Do you know how much you weigh?

Tiedän paremmin.
I know better.

Kyllä, tiedän.
Yes, I know.

Tiedän hänet.
I know him.

Tiedän sen.
I know that.

Tiedän oikotien.
I know a shortcut."
0199,mm,mm,"Harrastan mm. tähtitiedettä.
Astronomy is one of my hobbies.

Minä harrastan mm. tähtitiedettä.
Astronomy is one of my hobbies.

Minua kiinnostaa mm. tähtitiede.
Astronomy is one of my interests.

Söimme mm. voileipiä ja kakkua.
We ate sandwiches, cakes, and so on.

Mm-hm. Niin minäkin uskon.
Mm-hm. I think so too.

Ympäri maailman on miljoonia ihmisiä, jotka eivät juuri nyt katso MM-kisoja.
There are billions of people all over the world who are not watching the World Cup right now."
0200,ihmiset,people,"Olkaahan ihmisiksi.
Would you please start acting like adults?

Ihmiset puhuvat.
People are talking.

Ihmiset muuttuvat.
People change.

Olemme ihmisiä.
We are human.

Ahneus sokeuttaa ihmiset.
Greed blinds men.

Olen koti-ihmisiä.
I'm a homebody.

Ihmiset tykkäävät kiistellä.
People love to fight.

Haluan voimaannuttaa ihmiset.
I want to empower the people.

Ihmiset vastustavat ydinaseita.
People are protesting against nuclear weapons.

Olkaa ystävällisiä ihmisille.
Be kind to others."
0201,josta,whereof,"Jos haluat.
If you want.

Mitä jos juostaan?
How about running?

Oletko jostakin huolissasi?
Are you worried about something?

Soita, jos sataa.
Telephone me if it rains.

Tule jos mahdollista.
Please come if you can.

Odottele jossain muualla.
Wait somewhere else.

Jos te vaaditte.
If you insist.

Jos sinä vaadit.
If you insist.

Tulen, jos pääsen.
I will come if I can.

Tulen jos pääsen.
I will come if I can."
0202,muassa,along with,"Harrastan muun muassa tähtitiedettä.
Astronomy is one of my hobbies.

Minä harrastan muun muassa tähtitiedettä.
Astronomy is one of my hobbies.

Minua kiinnostaa muun muassa tähtitiede.
Astronomy is one of my interests.

Monet eläimet, muun muassa tiikerit, syövät lihaa.
Lots of animals, like for example tigers eat meat.

Kioto on kuuluisa muun muassa shintolaisista pyhäköistään ja buddhalaisista temppeleistään.
Kyoto is famous for its shrines and temples.

Sinisen värin tavoin, muun muassa kärpät vetoavat minuun alkukantaisella tasolla.
Like the colour blue, stoats are one of the things that appeal to me on a primal level.

Kielenä matematiikka voidaan käyttää, paitsi viestintään, myös muun muassa viettelemiseen.
Being a language, mathematics may be used not only to inform but also, among other things, to seduce.

Olen lukenut useita kirjoja viime viikolla, muiden muassa sinun kirjasi.
I read several books last week, including yours.

En ole menossa, koska, muiden syiden muassa, minulla ei ole rahaa.
I am not going, because, among other reasons, I don't have money."
0203,muun muassa,inter alia,"Harrastan muun muassa tähtitiedettä.
Astronomy is one of my hobbies.

Minä harrastan muun muassa tähtitiedettä.
Astronomy is one of my hobbies.

Minua kiinnostaa muun muassa tähtitiede.
Astronomy is one of my interests.

Monet eläimet, muun muassa tiikerit, syövät lihaa.
Lots of animals, like for example tigers eat meat.

Kioto on kuuluisa muun muassa shintolaisista pyhäköistään ja buddhalaisista temppeleistään.
Kyoto is famous for its shrines and temples.

Sinisen värin tavoin, muun muassa kärpät vetoavat minuun alkukantaisella tasolla.
Like the colour blue, stoats are one of the things that appeal to me on a primal level.

Kielenä matematiikka voidaan käyttää, paitsi viestintään, myös muun muassa viettelemiseen.
Being a language, mathematics may be used not only to inform but also, among other things, to seduce."
0204,sinä,you,"Sinä hidastelet!
You're stalling!

Maksatko sinä?
Are you paying?

Olen sinä.
I am you.

Sinä ylireagoit.
You're overreacting.

Vitsailetko sinä?
Are you kidding?

Sinä hölmöilet.
You're pulling my leg.

Sinä juksaat.
You're pulling my leg.

Kalastatko sinä?
Do you fish?

Hyperventiloitko sinä?
Do you hyperventilate?

Joitko sinä?
Were you drinking?"
0205,se oli,it was,"Se oli kunnianloukkaus.
It was slander.

Se oli panettelua.
It was slander.

Se olisi mahtavaa.
That would be cool.

Se oli erinomaista.
It was outstanding.

Se oli erinomainen.
It was outstanding.

Se oli häpeällistä.
It was disgraceful.

Se oli riittävä.
It was adequate.

Se oli riittävää.
It was adequate.

Se oli tarpeeksi.
It was enough.

Missä se oli?
Where was it?"
0206,silti,still,"Tee se silti.
Just do that.

Rakastan häntä silti.
I love her anyway.

Haluan silti mennä.
I still want to go.

Hän rakentaa siltaa.
He is building a bridge.

Sotilaat vartioivat siltaa.
The soldiers were guarding the bridge.

Ethän ylitä tätä siltaa.
Don't cross this bridge.

Älä käytä tätä siltaa.
Don't cross this bridge.

Älä ylitä tätä siltaa.
Don't cross this bridge.

Meidän täytyy silti mennä kahdesti.
We have to go twice anyway.

Tomilla saattaa silti olla mahdollisuus.
Tom might still have a chance."
0207,löytyy,found,"Jono löytyy.
There's a queue.

Massii löytyy.
I'm rolling in dough.

Aikaa löytyy aina.
One can always find time.

Häneltä löytyy pätäkkää.
She's rolling in money.

Etsimäsi löytyy keittiöstä.
What you're looking for is in the kitchen.

Etsimänne löytyy keittiöstä.
What you're looking for is in the kitchen.

Mitä tietokoneeltasi löytyy?
What kinds of things do you have on the computer?

Se kirja löytyy kirjastosta.
You'll find the book in the library.

Se löytyy sivulta kolme.
It's on page 3.

Se löytyy ensimmäisestä kerroksesta.
It's on the first floor."
0208,iso,big,"Olet iso.
You are big.

Miten iso?
How big?

Kuinka iso?
How big?

Vähänkö iso!
God, this place is huge!

Tein ison voiton.
I made a lot of money.

Tom oli iso.
Tom was big.

Tämä on isoin.
This one is the biggest.

Peniksesi on iso.
Your penis is big.

Karhu on iso.
The bear is big.

Tommi on iso.
Tom is big."
0209,se että,the fact that,"Muistakaa se, että te olette kuolevaisia.
Remember that you are mortal.

Minua kaduttaa se, etten mennyt sinne.
I regret that I didn't go there.

Siis tarkoittaako se, että hän on taitelija?
So are you saying he's an artist?

Totuus on se, että rakastan Tomia vieläkin.
The truth is that I still love Tom.

Tilannetta pahensi se, että hän oli rakastunut.
To make matters worse, he was in love.

Totuus on se, etten tiedä mitään siitä.
The truth is that I don't know anything about it.

Minun pitää tietää se, että missä sinä olet.
I need to know where you are.

Kerro minulle se, että miten voin löytää Tomin.
Tell me how to find Tom.

Ongelma on se, että se on liian kaukana.
The problem is that it's too far away.

Syy Tomin sairastumiselle oli se, että hän ylensöi.
The reason Tom got sick was because he overate."
0210,oma,own,"Jokaiselle omansa.
To each his own.

Saanko oman huoneen?
Am I going to get my own room?

Unohdin oman puhelinnumeroni.
I forgot my telephone number.

Puhu omasta puolestasi.
Speak for yourself.

Haluan oman huoneen.
I want to have my own room.

Pidän omasta sukunimestäni.
I like my last name.

Tiedätkö omaa veriryhmää?
Do you know your blood type?

Ole oma itsesi.
Be yourself!

Pesin omat paitani.
I washed my own shirts.

Pysy omalla kaistallasi.
Stay in your lane."
0211,ihana,wonderful,"Ihana!
Wonderful!

Ihan hölmöö.
That's so silly.

Ihanko totta!
Holy cow!

Ihan kohta.
Wait a moment.

Ihan just.
Wait a moment.

Ihan just!
Just a minute.

Ihan totta!
Fair does!

Ihanko totta.
No kidding.

Ihan hyvin.
I'm fine, thank you.

Ihan totta.
True."
0212,minulla on,I have,"Minulla on.
I have one.

Minulla on pikkusisko.
I have a younger sister.

Minulla on velvollisuuksia.
I've got responsibilities.

Minulla on kasvain.
I have a tumor.

Minulla on keuhkosyöpä.
I have lung cancer.

Minulla on uutisia.
I've got some news for you.

Minut on adoptoitu.
I'm adopted.

Minulla on gluteeniallergia.
I'm allergic to gluten.

Minua on purtu.
I've been bitten.

Minulla on vaimo.
I have a wife."
0213,saada,get,"Voisinko saada ruuvimeisselin?
Could I have a screwdriver?

Voisinko saada lääkärintarkastuksen?
I'd like to see the doctor.

Voinko saada yhden?
Can I have one?

Voisinko saada nimenne?
May I have your name, please?

Voisinko saada nimesi?
May I have your name, please?

Voinko saada kolme?
Can I have three?

Voisinko saada sähköpostiosoitteesi?
May I have your email, please?

Voisinko saada puhelinnumerosi?
May I have your phone number, please?

Voinko saada hyvityksen?
Can I get a refund?

Voisinko saada tiekartan?
May I have a road map, please?"
0214,päälle,on,"Laita päälle.
Play.

Mene päälleni
Get on top of me.

Pois päältäni!
Get off me.

Pue päällesi.
Get dressed.

Laita nämä päällesi.
Put these on.

Laitoin tuulettimen päälle.
I turned on the fan.

Sumuvaloni ovat päällä.
My fog lights are on.

Odotan mäen päällä.
I'm waiting on the hill.

Minkä päällä istut?
What are you sitting on?

Hän seisoi päällään.
She stood on her head."
0215,oman,one's own,"Jokaiselle omansa.
To each his own.

Saanko oman huoneen?
Am I going to get my own room?

Unohdin oman puhelinnumeroni.
I forgot my telephone number.

Puhu omasta puolestasi.
Speak for yourself.

Haluan oman huoneen.
I want to have my own room.

Pidän omasta sukunimestäni.
I like my last name.

Tiedätkö omaa veriryhmää?
Do you know your blood type?

Ole oma itsesi.
Be yourself!

Pesin omat paitani.
I washed my own shirts.

Pysy omalla kaistallasi.
Stay in your lane."
0216,niistä,there,"Maksoin niistä kengistä.
I paid for those shoes.

Reputin niissä kokeissa.
I failed the tests.

Rakastan molempia niistä.
I love both of them.

Pidän niistä kaikista.
I like them all.

En ollut niissä juhlissa.
I was absent from the party.

Niistä tuli läheisiä ystäviä.
They became close friends.

Halusin kertoa sinulle niistä.
I wanted to tell you about them.

Pysykää kaukana niistä sähkölaitteista.
Keep away from the electrical equipment.

Pysy kaukana niistä sähkölaitteista.
Keep away from the electrical equipment.

Minä rakastan molempia niistä.
I love both of them."
0217,olet,are,"Olen.
I am.

Olen!
I am!

Olen professori.
I'm a teacher.

Olen japaninamerikkalainen.
I'm Japanese-American.

Olen turkkilainen.
I'm Turkish.

Olet laulaja.
You are a singer.

Oletko palannut?
You've come back?

Olen yhteistyökykyinen.
I'm cooperative.

Olen alasti.
I'm naked.

Olet vakooja.
You're a spy."
0218,asti,until,"Siihen asti.
Until then.

Mistä asti?
Since when?

Viikonloppuun asti.
Until the end of the week.

Odotellaan yöhön asti.
Let's wait until night.

Sataa sunnuntaihin asti.
It'll rain until Sunday.

Satanee sunnuntaihin asti.
It'll rain until Sunday.

Mihin asti menet?
How far are you going?

Odota huomisaamuun asti.
Wait until tomorrow morning.

Taistelen kuolemaan asti.
I will fight to the death.

Mihin asti menemme?
How far are we going?"
0219,toisen,second,"Tunnemmeko toisemme?
Do we know each other?

Ne tunnistivat toisensa.
They recognized each other.

He tunnistivat toisensa.
They recognized each other.

Tunnemmeko me toisemme?
Do we know each other?

Saat toisen keksin.
You may have another cookie.

Haluaisitteko toisen teekupillisen?
Would you like another cup of tea?

Haluaisitko toisen teekupillisen?
Would you like another cup of tea?

Olen rakastunut toiseen.
I'm in love with someone else.

Tomi tuli toiseksi.
Tom was second.

Tossua toisen eteen.
Get a move on."
0220,saanut,walked,"Olenko saanut influenssatartunnan?
Do I have a flu?

Olet saanut tartunnan.
You've been infected.

Olen saanut flunssan.
I've caught the flu.

Oletko saanut shekin?
Have you received the cheque?

En saanut unta.
I couldn't fall asleep.

Olen saanut potkut.
I've been laid off.

Olet saanut ryppyjä.
You've got wrinkles.

Olen saanut kyllikseni.
I'm fed up.

Olen saanut tarpeekseni.
I'm fed up.

Presidentti ei saanut vammoja.
The president was not injured."
0221,uusi,new,"Oletko uusi?
Are you new?

Moottoripyöräni on uusi.
My motorcycle is new.

Uusi lukukausi alkoi.
The new school semester has started.

Tuo on uusi.
It's new.

Olen uusi opiskelija.
I'm a new student.

Onko tuo uusi?
Is that new?

Tietokone on uusi.
The computer is new.

Koirankoppi on uusi.
The doghouse is new.

Oletko uusi opiskelija?
Are you a new student?

Se on uusi.
It's new."
0222,jotenkin,somehow,"Voinko auttaa jotenkin?
Can I help with something?

Pääsen sinne jotenkin.
I'll get there somehow.

Näytät jotenkin erilaiselta.
You look different somehow.

Vaikutat jotenkin hiljaiselta.
You seem kind of quiet.

Näytät jotenkin masentuneelta.
You look kind of down.

Ymmärrän sen jotenkin.
I sort of understand.

Tomi on jotenkin outo.
Tom is kinda weird.

Pääsen siitä yli jotenkin.
I'll get over it somehow.

Voimmeko kiittää sinua jotenkin?
How can we thank you?

Ajattelen, joten olen olemassa.
I think, therefore I am."
